waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.081665,0.081665,0.081665
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 16:56:25.67639,-6.52E+01,-9.68E+01,1.07E+02
24/03/2020 16:56:25.75805,-6.52E+01,-9.66E+01,1.07E+02
24/03/2020 16:56:25.83972,-6.51E+01,-9.66E+01,1.07E+02
24/03/2020 16:56:25.92139,-6.51E+01,-9.64E+01,1.07E+02
24/03/2020 16:56:26.00305,-6.51E+01,-9.61E+01,1.07E+02
24/03/2020 16:56:26.08472,-6.50E+01,-9.64E+01,1.07E+02
24/03/2020 16:56:26.16638,-6.50E+01,-9.64E+01,1.07E+02
24/03/2020 16:56:26.24805,-6.50E+01,-9.64E+01,1.07E+02
24/03/2020 16:56:26.32971,-6.50E+01,-9.63E+01,1.07E+02
24/03/2020 16:56:26.41138,-6.48E+01,-9.63E+01,1.06E+02
24/03/2020 16:56:26.49304,-6.50E+01,-9.61E+01,1.06E+02
24/03/2020 16:56:26.57471,-6.48E+01,-9.61E+01,1.06E+02
24/03/2020 16:56:26.65637,-6.50E+01,-9.61E+01,1.06E+02
24/03/2020 16:56:26.73804,-6.48E+01,-9.60E+01,1.06E+02
24/03/2020 16:56:26.81970,-6.48E+01,-9.61E+01,1.06E+02
24/03/2020 16:56:26.90137,-6.47E+01,-9.61E+01,1.06E+02
24/03/2020 16:56:26.98303,-6.46E+01,-9.60E+01,1.06E+02
24/03/2020 16:56:27.06470,-6.48E+01,-9.60E+01,1.06E+02
24/03/2020 16:56:27.14637,-6.47E+01,-9.60E+01,1.06E+02
24/03/2020 16:56:27.22803,-6.46E+01,-9.60E+01,1.06E+02
24/03/2020 16:56:27.30970,-6.47E+01,-9.59E+01,1.06E+02
24/03/2020 16:56:27.39136,-6.46E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:27.47303,-6.47E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:27.55469,-6.46E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:27.63636,-6.46E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:27.71802,-6.46E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:27.79969,-6.46E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:27.88135,-6.46E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:27.96302,-6.43E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:28.04468,-6.45E+01,-9.58E+01,1.06E+02
24/03/2020 16:56:28.12635,-6.45E+01,-9.56E+01,1.06E+02
24/03/2020 16:56:28.20802,-6.45E+01,-9.56E+01,1.06E+02
24/03/2020 16:56:28.28968,-6.46E+01,-9.56E+01,1.06E+02
24/03/2020 16:56:28.37135,-6.45E+01,-9.56E+01,1.06E+02
24/03/2020 16:56:28.45301,-6.45E+01,-9.56E+01,1.06E+02
24/03/2020 16:56:28.53468,-6.45E+01,-9.55E+01,1.06E+02
24/03/2020 16:56:28.61634,-6.45E+01,-9.55E+01,1.06E+02
24/03/2020 16:56:28.69801,-6.45E+01,-9.55E+01,1.06E+02
24/03/2020 16:56:28.77967,-6.43E+01,-9.55E+01,1.06E+02
24/03/2020 16:56:28.86134,-6.43E+01,-9.54E+01,1.06E+02
24/03/2020 16:56:28.94300,-6.43E+01,-9.54E+01,1.05E+02
24/03/2020 16:56:29.02467,-6.42E+01,-9.53E+01,1.06E+02
24/03/2020 16:56:29.10633,-6.43E+01,-9.54E+01,1.05E+02
24/03/2020 16:56:29.18800,-6.43E+01,-9.54E+01,1.05E+02
24/03/2020 16:56:29.26967,-6.42E+01,-9.53E+01,1.06E+02
24/03/2020 16:56:29.35133,-6.42E+01,-9.53E+01,1.05E+02
24/03/2020 16:56:29.43300,-6.42E+01,-9.54E+01,1.05E+02
24/03/2020 16:56:29.51466,-6.42E+01,-9.54E+01,1.05E+02
24/03/2020 16:56:29.59633,-6.41E+01,-9.53E+01,1.05E+02
24/03/2020 16:56:29.67799,-6.41E+01,-9.53E+01,1.05E+02
24/03/2020 16:56:29.75966,-6.42E+01,-9.53E+01,1.06E+02
24/03/2020 16:56:29.84132,-6.41E+01,-9.54E+01,1.05E+02
24/03/2020 16:56:29.92299,-6.42E+01,-9.53E+01,1.05E+02
24/03/2020 16:56:30.00465,-6.40E+01,-9.53E+01,1.05E+02
24/03/2020 16:56:30.08632,-6.41E+01,-9.53E+01,1.05E+02
24/03/2020 16:56:30.16798,-6.41E+01,-9.51E+01,1.05E+02
24/03/2020 16:56:30.24965,-6.40E+01,-9.51E+01,1.05E+02
24/03/2020 16:56:30.33132,-6.41E+01,-9.51E+01,1.05E+02
24/03/2020 16:56:30.41298,-6.41E+01,-9.51E+01,1.05E+02
24/03/2020 16:56:30.49465,-6.40E+01,-9.51E+01,1.05E+02
24/03/2020 16:56:30.57631,-6.40E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:30.65798,-6.40E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:30.73964,-6.40E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:30.82131,-6.40E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:30.90297,-6.38E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:30.98464,-6.40E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:31.06630,-6.38E+01,-9.50E+01,1.05E+02
