waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.08164,0.08164,0.08164
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 17:05:16.78525,1.26E-01,8.80E-01,-1.38E+00
24/03/2020 17:05:16.86689,3.77E-01,1.01E+00,-1.01E+00
24/03/2020 17:05:16.94853,-1.26E-01,0.00E+00,-1.26E-01
24/03/2020 17:05:17.03017,-2.51E-01,3.77E-01,-1.13E+00
24/03/2020 17:05:17.11181,3.77E-01,1.13E+00,-1.51E+00
24/03/2020 17:05:17.19345,2.51E-01,5.03E-01,-5.03E-01
24/03/2020 17:05:17.27509,-5.03E-01,-1.26E-01,-3.77E-01
24/03/2020 17:05:17.35673,0.00E+00,8.80E-01,-1.63E+00
24/03/2020 17:05:17.43837,6.28E-01,1.13E+00,-1.26E+00
24/03/2020 17:05:17.52001,-1.26E-01,-1.26E-01,0.00E+00
24/03/2020 17:05:17.60165,-2.51E-01,0.00E+00,-1.01E+00
24/03/2020 17:05:17.68330,3.77E-01,1.26E+00,-1.76E+00
24/03/2020 17:05:17.76494,5.03E-01,7.54E-01,-7.54E-01
24/03/2020 17:05:17.84658,-2.51E-01,-1.26E-01,-3.77E-01
24/03/2020 17:05:17.92822,0.00E+00,3.77E-01,-1.26E+00
24/03/2020 17:05:18.00986,8.80E-01,1.01E+00,-1.88E+00
24/03/2020 17:05:18.09150,1.01E+00,3.77E-01,-1.13E+00
24/03/2020 17:05:18.17314,3.77E-01,-1.26E-01,-6.28E-01
24/03/2020 17:05:18.25478,6.28E-01,6.28E-01,-1.51E+00
24/03/2020 17:05:18.33642,7.54E-01,1.01E+00,-1.63E+00
24/03/2020 17:05:18.41806,3.77E-01,2.51E-01,-8.80E-01
24/03/2020 17:05:18.49970,1.26E-01,2.51E-01,-1.01E+00
24/03/2020 17:05:18.58134,5.03E-01,8.80E-01,-1.51E+00
24/03/2020 17:05:18.66298,8.80E-01,8.80E-01,-2.14E+00
24/03/2020 17:05:18.74462,2.39E+00,3.77E+00,-4.40E+00
24/03/2020 17:05:18.82626,0.00E+00,-2.64E+00,5.91E+00
24/03/2020 17:05:18.90790,-7.41E+00,-1.07E+01,1.03E+01
24/03/2020 17:05:18.98954,-3.27E+00,2.51E-01,-3.52E+00
24/03/2020 17:05:19.07118,2.89E+00,3.52E+00,-8.80E-01
24/03/2020 17:05:19.15282,-5.78E+00,-1.24E+01,1.62E+01
24/03/2020 17:05:19.23446,-1.01E+01,-1.22E+01,7.54E+00
24/03/2020 17:05:19.31611,2.76E+00,8.92E+00,-1.34E+01
24/03/2020 17:05:19.39775,6.79E+00,4.90E+00,7.54E-01
24/03/2020 17:05:19.47939,-8.42E+00,-1.77E+01,1.97E+01
24/03/2020 17:05:19.56103,-7.79E+00,-8.42E+00,7.54E-01
24/03/2020 17:05:19.64267,8.04E+00,1.06E+01,-1.28E+01
24/03/2020 17:05:19.72431,5.28E+00,-2.14E+00,6.28E+00
24/03/2020 17:05:19.80595,-6.03E+00,-1.45E+01,1.16E+01
24/03/2020 17:05:19.88759,6.28E-01,2.51E-01,-6.91E+00
24/03/2020 17:05:19.96923,8.80E+00,6.91E+00,-6.53E+00
24/03/2020 17:05:20.05087,1.01E+00,-7.79E+00,9.42E+00
24/03/2020 17:05:20.13251,-2.14E+00,-6.03E+00,-7.54E-01
24/03/2020 17:05:20.21415,1.17E+01,1.14E+01,-1.71E+01
24/03/2020 17:05:20.29579,1.24E+01,5.40E+00,-4.02E+00
24/03/2020 17:05:20.37743,5.03E-01,-9.80E+00,7.79E+00
24/03/2020 17:05:20.45907,2.89E+00,2.51E-01,-7.79E+00
24/03/2020 17:05:20.54071,1.33E+01,1.14E+01,-1.45E+01
24/03/2020 17:05:20.62235,8.29E+00,-1.38E+00,2.64E+00
24/03/2020 17:05:20.70399,-3.77E-01,-8.17E+00,3.64E+00
24/03/2020 17:05:20.78563,6.28E+00,3.39E+00,-8.29E+00
24/03/2020 17:05:20.86727,9.30E+00,1.88E+00,-3.64E+00
24/03/2020 17:05:20.94892,4.78E+00,-3.64E+00,2.51E-01
24/03/2020 17:05:21.03056,6.41E+00,1.76E+00,-6.91E+00
24/03/2020 17:05:21.11220,1.07E+01,5.03E+00,-7.54E+00
24/03/2020 17:05:21.19384,7.54E+00,-2.76E+00,3.77E-01
24/03/2020 17:05:21.27548,4.02E+00,-6.03E+00,1.88E+00
24/03/2020 17:05:21.35712,5.65E+00,-1.63E+00,-2.51E+00
24/03/2020 17:05:21.43876,7.79E+00,1.13E+00,-5.78E+00
24/03/2020 17:05:21.52040,9.93E+00,5.53E+00,-1.18E+01
24/03/2020 17:05:21.60204,1.34E+01,9.30E+00,-1.38E+01
24/03/2020 17:05:21.68368,1.29E+01,8.42E+00,-1.23E+01
24/03/2020 17:05:21.76532,1.21E+01,7.16E+00,-1.09E+01
24/03/2020 17:05:21.84696,1.04E+01,5.28E+00,-9.30E+00
24/03/2020 17:05:21.92860,1.13E+01,7.92E+00,-1.34E+01
24/03/2020 17:05:22.01024,1.33E+01,9.80E+00,-1.27E+01
24/03/2020 17:05:22.09188,1.08E+01,6.28E+00,-9.93E+00
24/03/2020 17:05:22.17352,1.09E+01,5.53E+00,-9.55E+00
24/03/2020 17:05:22.25516,1.08E+01,3.77E+00,-7.54E+00
24/03/2020 17:05:22.33680,9.68E+00,2.76E+00,-6.16E+00
24/03/2020 17:05:22.41844,8.67E+00,1.51E+00,-5.03E+00
24/03/2020 17:05:22.50008,9.30E+00,1.01E+00,-5.91E+00
24/03/2020 17:05:22.58172,1.16E+01,2.26E+00,-8.04E+00
24/03/2020 17:05:22.66337,1.34E+01,2.51E+00,-8.04E+00
24/03/2020 17:05:22.74501,1.32E+01,1.63E+00,-7.29E+00
24/03/2020 17:05:22.82665,1.41E+01,1.76E+00,-8.42E+00
24/03/2020 17:05:22.90829,1.53E+01,3.14E+00,-9.80E+00
24/03/2020 17:05:22.98993,1.57E+01,2.64E+00,-8.80E+00
24/03/2020 17:05:23.07157,1.51E+01,1.76E+00,-8.17E+00
24/03/2020 17:05:23.15321,1.53E+01,2.39E+00,-9.42E+00
24/03/2020 17:05:23.23485,1.58E+01,2.89E+00,-9.42E+00
24/03/2020 17:05:23.31649,1.56E+01,2.26E+00,-8.42E+00
24/03/2020 17:05:23.39813,1.52E+01,2.14E+00,-8.80E+00
24/03/2020 17:05:23.47977,1.55E+01,2.51E+00,-9.17E+00
24/03/2020 17:05:23.56141,1.55E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:23.64305,1.52E+01,2.14E+00,-8.55E+00
24/03/2020 17:05:23.72469,1.51E+01,2.14E+00,-8.80E+00
24/03/2020 17:05:23.80633,1.55E+01,2.76E+00,-9.30E+00
24/03/2020 17:05:23.88797,1.53E+01,2.51E+00,-8.55E+00
24/03/2020 17:05:23.96961,1.50E+01,2.14E+00,-8.67E+00
24/03/2020 17:05:24.05125,1.52E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:24.13289,1.55E+01,2.76E+00,-9.05E+00
24/03/2020 17:05:24.21453,1.52E+01,2.26E+00,-8.42E+00
24/03/2020 17:05:24.29618,1.53E+01,2.39E+00,-8.80E+00
24/03/2020 17:05:24.37782,1.53E+01,2.64E+00,-9.05E+00
24/03/2020 17:05:24.45946,1.58E+01,2.14E+00,-8.80E+00
24/03/2020 17:05:24.54110,1.62E+01,2.76E+00,-9.55E+00
24/03/2020 17:05:24.62274,1.63E+01,3.02E+00,-9.42E+00
24/03/2020 17:05:24.70438,1.61E+01,2.39E+00,-8.92E+00
24/03/2020 17:05:24.78602,1.58E+01,2.39E+00,-9.05E+00
24/03/2020 17:05:24.86766,1.61E+01,2.89E+00,-9.55E+00
24/03/2020 17:05:24.94930,1.61E+01,2.64E+00,-9.17E+00
24/03/2020 17:05:25.03094,1.58E+01,2.39E+00,-8.92E+00
24/03/2020 17:05:25.11258,1.60E+01,2.51E+00,-9.17E+00
24/03/2020 17:05:25.19422,1.62E+01,2.89E+00,-9.42E+00
24/03/2020 17:05:25.27586,1.61E+01,2.64E+00,-9.05E+00
24/03/2020 17:05:25.35750,1.60E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:25.43914,1.61E+01,2.76E+00,-9.55E+00
24/03/2020 17:05:25.52078,1.62E+01,2.76E+00,-9.42E+00
24/03/2020 17:05:25.60242,1.58E+01,2.39E+00,-8.92E+00
24/03/2020 17:05:25.68406,1.60E+01,2.64E+00,-9.30E+00
24/03/2020 17:05:25.76570,1.60E+01,2.76E+00,-9.30E+00
24/03/2020 17:05:25.84734,1.58E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:25.92899,1.58E+01,2.26E+00,-9.05E+00
24/03/2020 17:05:26.01063,1.60E+01,2.51E+00,-9.17E+00
24/03/2020 17:05:26.09227,1.60E+01,2.76E+00,-9.17E+00
24/03/2020 17:05:26.17391,1.58E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:26.25555,1.58E+01,2.64E+00,-9.17E+00
24/03/2020 17:05:26.33719,1.61E+01,2.76E+00,-9.17E+00
24/03/2020 17:05:26.41883,1.60E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:26.50047,1.58E+01,2.39E+00,-9.05E+00
24/03/2020 17:05:26.58211,1.60E+01,2.64E+00,-9.17E+00
24/03/2020 17:05:26.66375,1.60E+01,2.76E+00,-9.05E+00
24/03/2020 17:05:26.74539,1.60E+01,2.51E+00,-9.17E+00
24/03/2020 17:05:26.82703,1.60E+01,2.51E+00,-9.17E+00
24/03/2020 17:05:26.90867,1.60E+01,2.64E+00,-9.30E+00
24/03/2020 17:05:26.99031,1.61E+01,2.64E+00,-9.17E+00
